arxiv_id,title,authors,published,iaifi_theme
2405.14867,Improved Distribution Matching Distillation for Fast Image Synthesis,Tianwei Yin; Michaël Gharbi; Taesung Park; Richard Zhang; Eli Shechtman; Fredo Durand; William T. Freeman,2024-05-01,AI
2405.14860,Not All Language Model Features Are Linear,Joshua Engels; Isaac Liao; Eric J. Michaud; Wes Gurnee; Max Tegmark,2024-05-01,AI
2405.14806,Lorentz-Equivariant Geometric Algebra Transformers for High-Energy Physics,Jonas Spinner; Victor Bresó; Pim de Haan; Tilman Plehn; Jesse Thaler; Johann Brehmer,2024-05-01,AI
2405.14530,Multistable Shape from Shading Emerges from Patch Diffusion,Xinran Nicole Han; Todd Zickler; Ko Nishino,2024-05-01,AI
2405.04484,OptPDE: Discovering Novel Integrable Systems via AI-Human Collaboration,Subhash Kantamneni; Ziming Liu; Max Tegmark,2024-05-01,AI
2405.01402,Learning Force Control for Legged Manipulation,Tifanny Portela; Gabriel B. Margolis; Yandong Ji; Pulkit Agrawal,2024-05-01,AI
2404.19756,KAN: Kolmogorov-Arnold Networks,Ziming Liu; Yixuan Wang; Sachin Vaidya; Fabian Ruehle; James Halverson; Marin Soljačić; Thomas Y. Hou; Max Tegmark,2024-04-01,AI
2404.13026,PhysDreamer: Physics-Based Interaction with 3D Objects via Video Generation,Tianyuan Zhang; Hong-Xing Yu; Rundi Wu; Brandon Y. Feng; Changxi Zheng; Noah Snavely; Jiajun Wu; William T. Freeman,2024-04-01,AI
2404.01223,Feature Splatting: Language-Driven Physics-Based Scene Synthesis and Editing,Ri-Zhao Qiu; Ge Yang; Weijia Zeng; Xiaolong Wang,2024-04-01,AI
2404.01413,Is Model Collapse Inevitable? Breaking the Curse of Recursion by Accumulating Real and Synthetic Data,Matthias Gerstgrasser; Rylan Schaeffer; Apratim Dey; Rafael Rafailov; Henry Sleight; John Hughes; Tomasz Korbak; Rajashree Agrawal; Dhruv Pai; Andrey Gromov; Daniel A. Roberts; Diyi Yang; David L. Donoho; Sanmi Koyejo,2024-04-01,AI
2403.19647,Sparse Feature Circuits: Discovering and Editing Interpretable Causal Graphs in Language Models,Samuel Marks; Can Rager; Eric J. Michaud; Yonatan Belinkov; David Bau; Aaron Mueller,2024-03-01,AI
2403.17887,The Unreasonable Ineffectiveness of the Deeper Layers,Andrey Gromov; Kushal Tirumala; Hassan Shapourian; Paolo Glorioso; Daniel A. Roberts,2024-03-01,AI
2403.10516,FeatUp: A Model-Agnostic Framework for Features at Any Resolution,Stephanie Fu; Mark Hamilton; Laura Brandt; Axel Feldman; Zhoutong Zhang; William T. Freeman,2024-03-01,AI
2403.03154,Quantum Many-Body Physics Calculations with Large Language Models,Haining Pan; Nayantara Mudur; Will Taranto; Maria Tikhanovskaya; Subhashini Venugopalan; Yasaman Bahri; Michael P. Brenner; Eun-Ah Kim,2024-03-01,AI
2402.17090,"Renormalization Group flow, Optimal Transport and Diffusion-based Generative Model",Artan Sheshmani; Yi-Zhuang You; Baturalp Buyukates; Amir Ziashahabi; Salman Avestimehr,2024-02-01,AI
2402.05916,GenEFT: Understanding statics and dynamics of model generalization via physics-inspired effective theory,David D. Baek; Ziming Liu; Max Tegmark,2024-02-01,AI
2402.05164,A Resource Model For Neural Scaling Law,Jinyeop Song; Ziming Liu; Max Tegmark; Jeff Gore,2024-02-01,AI
